,jan_unique,feb_unique,march_unique
0,189314,32661.0,189314.0
1,46268,77901.0,77901.0
2,55271,36635.0,199763.0
3,170766,193104.0,162631.0
4,182276,77745.0,119697.0
5,74628,170174.0,89798.0
6,122584,164004.0,61516.0
7,170174,122584.0,77745.0
8,77745,66762.0,164004.0
9,55369,145104.0,122584.0
10,42531,106508.0,66762.0
11,60231,73210.0,142194.0
12,66762,52850.0,193036.0
13,161206,20855.0,57835.0
14,3452,161206.0,42387.0
15,193036,86029.0,175955.0
16,42387,193036.0,144909.0
17,151804,9197.0,128934.0
18,62642,47963.0,26893.0
19,127850,27876.0,53047.0
20,68800,151259.0,171586.0
21,148431,24582.0,22534.0
22,120371,144909.0,93174.0
23,98294,154812.0,47628.0
24,172653,105919.0,100771.0
25,49442,123102.0,187466.0
26,112916,187153.0,189081.0
27,78646,98294.0,175582.0
28,46608,192119.0,21196.0
29,169327,192914.0,188210.0
30,88392,135672.0,102620.0
31,119048,46097.0,47827.0
32,145504,19943.0,183383.0
33,154473,66598.0,122286.0
34,108129,125092.0,161917.0
35,78914,67529.0,185451.0
36,24582,46444.0,172023.0
37,164024,141430.0,192119.0
38,17344,130739.0,58266.0
39,171463,83896.0,112916.0
40,71382,105620.0,24582.0
41,190191,42849.0,71382.0
42,148274,153697.0,169072.0
43,89928,112514.0,149163.0
44,192162,192208.0,160482.0
45,46140,138055.0,179762.0
46,156920,59986.0,148274.0
47,59454,37827.0,130739.0
48,78645,75173.0,86676.0
49,6014,32581.0,190191.0
50,70892,166201.0,115643.0
51,92309,65516.0,118918.0
52,130034,62006.0,76337.0
53,138055,40906.0,55529.0
54,79348,186686.0,52458.0
55,3580,14874.0,69650.0
56,140507,124252.0,67529.0
57,66504,169265.0,171522.0
58,163261,43860.0,189413.0
59,26179,100305.0,39916.0
60,36787,193154.0,19960.0
61,83841,99071.0,130034.0
62,101925,33824.0,59986.0
63,17746,57801.0,70651.0
64,103003,75795.0,106210.0
65,68240,172023.0,59140.0
66,69750,95960.0,116485.0
67,50628,38832.0,50932.0
68,13402,37423.0,8656.0
69,31960,128997.0,51469.0
70,35729,67744.0,41098.0
71,117605,31412.0,17049.0
72,119500,71800.0,140507.0
73,62595,160269.0,66909.0
74,71800,152224.0,57569.0
75,107105,167471.0,83992.0
76,37423,104980.0,76836.0
77,128513,45386.0,96585.0
78,190136,117378.0,70558.0
79,78626,172653.0,30752.0
80,8873,138286.0,85427.0
81,57801,56000.0,163829.0
82,16015,72648.0,159448.0
83,117378,85555.0,47251.0
84,32390,50501.0,57801.0
85,15775,43620.0,98247.0
86,85555,129331.0,134930.0
87,34633,106210.0,31412.0
88,35354,26389.0,648.0
89,137573,147455.0,87768.0
90,13793,164571.0,105035.0
91,38109,195339.0,117378.0
92,106210,30990.0,57757.0
93,195339,24587.0,15169.0
94,91702,129675.0,139399.0
95,46373,61353.0,138286.0
96,47963,47695.0,186707.0
97,35610,196554.0,173516.0
98,191775,16603.0,26389.0
99,47942,196829.0,196829.0
100,115548,133399.0,124236.0
101,49619,68720.0,52281.0
102,12023,86187.0,147466.0
103,72648,77179.0,82641.0
104,67726,30963.0,194199.0
105,33288,47342.0,55369.0
106,197674,22852.0,100829.0
107,92482,60635.0,73181.0
108,133399,190136.0,52617.0
109,65660,124084.0,113777.0
110,71338,52617.0,168544.0
111,112913,172114.0,97348.0
112,82881,181599.0,141329.0
113,77179,137492.0,87053.0
114,155955,69522.0,127496.0
115,76850,93351.0,109973.0
116,42304,140961.0,82881.0
117,109973,94520.0,82026.0
118,79360,9065.0,73651.0
119,197635,113815.0,132459.0
120,95113,98785.0,99817.0
121,11342,120340.0,179948.0
122,163441,154316.0,199850.0
123,6989,154660.0,122311.0
124,195788,16954.0,118052.0
125,26072,166884.0,79360.0
126,192648,133948.0,191727.0
127,9197,146718.0,15976.0
128,97775,171586.0,3427.0
129,43374,189926.0,86713.0
130,137492,172055.0,168634.0
131,67129,188854.0,172114.0
132,140961,46434.0,137492.0
133,100962,119565.0,15445.0
134,8240,53008.0,55490.0
135,137438,189735.0,33838.0
136,87218,111098.0,149275.0
137,53022,180388.0,142291.0
138,33193,133250.0,41034.0
139,171363,183032.0,74224.0
140,85876,59828.0,128523.0
141,154952,134266.0,55660.0
142,189029,70263.0,4328.0
143,197267,197333.0,151151.0
144,100627,162892.0,162206.0
145,139720,65977.0,184825.0
146,150865,74427.0,181249.0
147,166969,119466.0,111743.0
148,29563,8864.0,53008.0
149,21667,156740.0,170335.0
150,54558,198706.0,130583.0
151,160575,162144.0,153664.0
152,177755,135454.0,189735.0
153,137078,93346.0,188854.0
154,14687,183794.0,101173.0
155,61768,64673.0,84287.0
156,181249,34712.0,183032.0
157,139865,111950.0,134413.0
158,119565,185319.0,183919.0
159,29684,76262.0,56558.0
160,6513,154668.0,82864.0
161,183919,181737.0,121464.0
162,162144,107041.0,66504.0
163,188854,17980.0,21651.0
164,72807,196670.0,64580.0
165,121464,146846.0,106125.0
166,78264,188409.0,67743.0
167,143969,199593.0,137899.0
168,119466,41043.0,154070.0
169,94377,46976.0,156506.0
170,112615,112410.0,111771.0
171,133250,8760.0,31316.0
172,69769,9108.0,146507.0
173,159675,79319.0,11989.0
174,21016,168985.0,183359.0
175,194263,91632.0,91936.0
176,189124,135886.0,145651.0
177,7701,74343.0,4377.0
178,152290,129101.0,122970.0
179,18979,197416.0,18586.0
180,34712,109142.0,17715.0
181,19531,30922.0,2263.0
182,107631,71982.0,99465.0
183,163562,45602.0,59211.0
184,73708,194849.0,33978.0
185,40182,187033.0,19221.0
186,85715,147037.0,728.0
187,172006,23393.0,10067.0
188,159422,43107.0,145519.0
189,128921,191615.0,76847.0
190,134918,119953.0,40129.0
191,29885,31583.0,8605.0
192,24613,171359.0,2861.0
193,64956,51367.0,62527.0
194,182461,40981.0,107041.0
195,2162,18934.0,198621.0
196,33978,134413.0,186697.0
197,7412,83516.0,198949.0
198,60319,55575.0,193867.0
199,12255,146873.0,158427.0
200,3585,27905.0,142836.0
201,182493,92694.0,43107.0
202,100201,27492.0,55188.0
203,160469,130908.0,189377.0
204,8760,122111.0,195863.0
205,82622,142920.0,139526.0
206,85562,128226.0,189288.0
207,5049,45412.0,168493.0
208,165056,19783.0,10444.0
209,75870,90625.0,57736.0
210,184360,96030.0,189223.0
211,62184,195179.0,54842.0
212,19017,69807.0,13982.0
213,15445,160056.0,57210.0
214,14120,158191.0,62390.0
215,143338,134107.0,170106.0
216,48615,2029.0,92557.0
217,34654,191653.0,171359.0
218,53976,132914.0,124286.0
219,189707,33086.0,12354.0
220,56630,79346.0,95107.0
221,158276,36096.0,145095.0
222,112633,186656.0,134416.0
223,27204,191033.0,73065.0
224,88939,190562.0,92056.0
225,114763,74653.0,28245.0
226,83896,9187.0,139495.0
227,68866,165419.0,23899.0
228,186429,153758.0,63032.0
229,9198,164227.0,96030.0
230,123932,136094.0,189468.0
231,15767,14778.0,62582.0
232,7971,20597.0,35093.0
233,13209,28621.0,2827.0
234,172055,2562.0,91545.0
235,56558,6114.0,92416.0
236,66097,12377.0,136094.0
237,134413,14557.0,182418.0
238,171359,48802.0,14942.0
239,111098,184770.0,27905.0
240,33359,159873.0,16238.0
241,84259,86273.0,163907.0
242,195741,142383.0,51009.0
243,60460,85699.0,115430.0
244,60557,172411.0,51367.0
245,114013,94413.0,12377.0
246,90625,37622.0,1775.0
247,137366,9894.0,147059.0
248,126313,130164.0,133863.0
249,92904,46140.0,99420.0
250,193742,77175.0,46975.0
251,30671,15447.0,63511.0
252,45412,182782.0,125282.0
253,63032,192084.0,15447.0
254,128226,199611.0,129675.0
255,189468,73006.0,129595.0
256,2827,136424.0,177699.0
257,119314,12114.0,21954.0
258,38803,48657.0,33558.0
259,153421,19309.0,111950.0
260,65796,33558.0,27492.0
261,77837,118645.0,12485.0
262,20154,192056.0,103992.0
263,15300,55452.0,94128.0
264,130844,30499.0,60375.0
265,74653,50594.0,113593.0
266,23913,75341.0,96349.0
267,82702,58754.0,6963.0
268,124801,187505.0,142058.0
269,98338,64143.0,107937.0
270,163768,195573.0,44138.0
271,20597,60395.0,76528.0
272,155124,126821.0,42484.0
273,150731,42520.0,13091.0
274,128782,82104.0,59358.0
275,50641,50981.0,32718.0
276,179988,49800.0,106977.0
277,130118,55384.0,123989.0
278,151526,55576.0,161884.0
279,21595,33021.0,63053.0
280,28805,45972.0,33092.0
281,95174,183351.0,162144.0
282,23806,45090.0,39047.0
283,74325,61890.0,73873.0
284,93264,90112.0,19246.0
285,42551,24154.0,106487.0
286,101548,34224.0,77061.0
287,85351,2161.0,25479.0
288,181599,145528.0,13846.0
289,80621,38837.0,193175.0
290,110402,187774.0,60327.0
291,106764,50471.0,36923.0
292,16292,25812.0,172100.0
293,194124,182602.0,118827.0
294,86098,14708.0,100935.0
295,30995,101051.0,94477.0
296,161755,77061.0,160722.0
297,29124,15573.0,190208.0
298,144450,85431.0,63907.0
299,43523,193175.0,122076.0
300,163779,183557.0,163241.0
301,126315,52555.0,179042.0
302,83467,118827.0,9858.0
303,154248,73278.0,116003.0
304,136431,103227.0,11800.0
305,48935,199981.0,39801.0
306,40035,48403.0,19536.0
307,177670,7310.0,75155.0
308,24838,160722.0,88424.0
309,89811,3510.0,70262.0
310,126821,5977.0,162890.0
311,33021,18261.0,59752.0
312,16277,69723.0,29269.0
313,122587,31136.0,188432.0
314,166643,63907.0,14601.0
315,7936,175727.0,85376.0
316,111950,63082.0,9133.0
317,50900,94377.0,139191.0
318,14778,20319.0,21418.0
319,145486,155186.0,7731.0
320,69450,83735.0,5049.0
321,20408,69202.0,61311.0
322,55143,10965.0,88880.0
323,198590,110810.0,13951.0
324,57573,116379.0,186767.0
325,193175,179876.0,51037.0
326,183557,61311.0,109230.0
327,116791,14499.0,139383.0
328,67664,13951.0,75174.0
329,107073,35737.0,10629.0
330,53934,190208.0,155152.0
331,21052,184876.0,122482.0
332,51987,7731.0,4595.0
333,160722,57335.0,9634.0
334,162890,44356.0,127299.0
335,180948,162890.0,13959.0
336,45625,5633.0,108360.0
337,49431,179123.0,104479.0
338,13139,139383.0,8704.0
339,155186,83024.0,149975.0
340,13951,121536.0,36632.0
341,23457,88424.0,2261.0
342,163241,126952.0,197733.0
343,138882,42287.0,198706.0
344,151220,154563.0,3424.0
345,15900,23689.0,165031.0
346,44371,10362.0,58429.0
347,144642,61856.0,142628.0
348,7121,187982.0,10362.0
349,68127,59877.0,41471.0
350,138579,24749.0,179789.0
351,123820,12790.0,18465.0
352,5977,145478.0,69202.0
353,6033,199763.0,6006.0
354,102430,197733.0,6268.0
355,14601,141201.0,139421.0
356,19536,54218.0,65068.0
357,71170,32772.0,7970.0
358,7731,165031.0,86258.0
359,9133,7592.0,159558.0
360,61311,3424.0,5868.0
361,1864,6845.0,152174.0
362,21418,7970.0,29704.0
363,171636,121442.0,187982.0
364,13131,8353.0,55794.0
365,119112,75141.0,87679.0
366,60515,30453.0,11665.0
367,98373,179789.0,143053.0
368,81637,76917.0,151754.0
369,46697,189815.0,22963.0
370,85376,211.0,134836.0
371,44356,6892.0,119112.0
372,11332,142556.0,6636.0
373,189769,20003.0,2577.0
374,181839,163945.0,97561.0
375,21854,98551.0,110256.0
376,127661,51963.0,86555.0
377,30963,82195.0,153485.0
378,141491,22963.0,153758.0
379,4595,8704.0,85431.0
380,8861,134836.0,54699.0
381,13091,58858.0,8864.0
382,75070,165303.0,3176.0
383,3770,10629.0,41627.0
384,22963,69975.0,132693.0
385,19130,41627.0,220.0
386,50869,120625.0,183580.0
387,16287,92417.0,25162.0
388,105510,18139.0,56905.0
389,135460,73902.0,33493.0
390,62101,10757.0,23503.0
391,152685,159431.0,25797.0
392,128702,114366.0,147278.0
393,78628,13378.0,173979.0
394,99794,21854.0,140525.0
395,81709,45876.0,121788.0
396,765,79732.0,171784.0
397,165031,128016.0,20992.0
398,87679,85993.0,123857.0
399,8353,44291.0,48070.0
400,12485,59866.0,8353.0
401,10453,47054.0,195442.0
402,60132,1731.0,14876.0
403,7970,129346.0,30578.0
404,77525,183381.0,122529.0
405,63947,6317.0,74860.0
406,11404,171784.0,145744.0
407,130031,72883.0,166113.0
408,108169,91232.0,178405.0
409,137115,108360.0,56894.0
410,182041,1864.0,191728.0
411,15037,16959.0,195924.0
412,196020,74860.0,96563.0
413,13959,56894.0,2133.0
414,197313,139275.0,88692.0
415,32837,145744.0,3207.0
416,83735,3207.0,3398.0
417,134836,150771.0,42741.0
418,165303,55556.0,106973.0
419,11659,31316.0,108140.0
420,59877,3398.0,150771.0
421,151502,193136.0,190827.0
422,178968,192011.0,192035.0
423,17641,184274.0,31136.0
424,8605,186767.0,4121.0
425,23503,7845.0,116920.0
426,33493,32005.0,2831.0
427,113889,20754.0,11199.0
428,168886,13060.0,19363.0
429,21152,26860.0,45644.0
430,44291,45644.0,20133.0
431,18314,7443.0,40981.0
432,108360,12484.0,193630.0
433,29619,21219.0,85412.0
434,171784,57438.0,6284.0
435,195924,182860.0,5397.0
436,80607,137777.0,113889.0
437,96563,50187.0,21072.0
438,136456,95557.0,714.0
439,181852,167170.0,75870.0
440,74860,78708.0,69586.0
441,127446,170646.0,3177.0
442,71922,46095.0,63945.0
443,145744,190372.0,9197.0
444,178405,114316.0,64360.0
445,36818,165036.0,101625.0
446,87764,79500.0,52445.0
447,56421,21152.0,142186.0
448,171782,5397.0,51987.0
449,150771,60132.0,47195.0
450,42741,171180.0,83178.0
451,106973,19760.0,167053.0
452,52787,6284.0,146622.0
453,91083,184192.0,9298.0
454,61921,9858.0,175856.0
455,192035,85412.0,106080.0
456,175626,110482.0,145838.0
457,59866,72186.0,9330.0
458,86311,6085.0,19988.0
459,14499,13359.0,5494.0
460,4043,71382.0,35242.0
461,25479,182292.0,136602.0
462,122472,19795.0,106764.0
463,20133,51090.0,167196.0
464,45644,33581.0,18521.0
465,65873,47276.0,77935.0
466,35292,36152.0,9386.0
467,3449,20223.0,128524.0
468,149241,93801.0,110650.0
469,191472,147059.0,129377.0
470,30999,13380.0,6513.0
471,220,68265.0,3231.0
472,40671,99396.0,23493.0
473,182860,11025.0,62188.0
474,146622,116510.0,88934.0
475,114316,93374.0,150206.0
476,29627,15900.0,28412.0
477,99316,27112.0,106867.0
478,85412,113889.0,76893.0
479,6284,109602.0,76858.0
480,120625,156140.0,10015.0
481,187489,24964.0,184227.0
482,75928,23493.0,71766.0
483,97164,145838.0,9354.0
484,9671,67747.0,53581.0
485,33581,86889.0,156140.0
486,69402,146622.0,163662.0
487,59634,32189.0,25889.0
488,99396,7105.0,64380.0
489,101625,13605.0,141740.0
490,4121,45089.0,168488.0
491,110246,3772.0,68193.0
492,14755,182573.0,185711.0
493,78454,68109.0,194874.0
494,52445,9560.0,99730.0
495,20026,3145.0,13138.0
496,33945,8066.0,11069.0
497,9338,6006.0,101088.0
498,106977,38145.0,60296.0
499,193136,144056.0,136170.0
500,28584,54134.0,170764.0
501,146584,19588.0,199674.0
502,8244,42513.0,148025.0
503,18226,52262.0,81775.0
504,67277,190525.0,153931.0
505,13378,191386.0,158172.0
506,162896,40195.0,180438.0
507,94034,70944.0,114013.0
508,28914,86456.0,90948.0
509,8875,46167.0,161137.0
510,164179,154852.0,118825.0
511,191576,61550.0,28523.0
512,78900,27328.0,109970.0
513,142186,17784.0,18625.0
514,196588,115233.0,148275.0
515,125141,76269.0,165340.0
516,93144,76786.0,18979.0
517,190841,155069.0,182513.0
518,50174,60864.0,147516.0
519,168983,180438.0,162534.0
520,189288,153945.0,116321.0
521,16173,63731.0,138423.0
522,8066,131261.0,144052.0
523,26536,79434.0,62941.0
524,141761,153931.0,25876.0
525,7282,122969.0,168301.0
526,61602,68193.0,87734.0
527,186088,128795.0,96027.0
528,89579,148025.0,180731.0
529,12781,50396.0,121698.0
530,18009,142597.0,149015.0
531,62098,143278.0,15841.0
532,143237,191118.0,188922.0
533,195338,60211.0,71320.0
534,111153,63372.0,112239.0
535,41471,16812.0,137032.0
536,45089,41895.0,20387.0
537,3145,178207.0,193476.0
538,77935,197147.0,117528.0
539,16566,52447.0,91912.0
540,26820,194653.0,30923.0
541,16744,3288.0,41279.0
542,150171,97745.0,172517.0
543,62188,87734.0,120340.0
544,141740,138423.0,197706.0
545,46167,195965.0,130893.0
546,69366,45817.0,105268.0
547,68193,145809.0,88044.0
548,137548,121461.0,72165.0
549,69073,55143.0,9732.0
550,15656,96803.0,17865.0
551,66828,45569.0,48663.0
552,109945,168301.0,81387.0
553,72025,50009.0,100336.0
554,33824,10815.0,43432.0
555,3929,65242.0,154793.0
556,43827,4473.0,143913.0
557,96106,121698.0,59024.0
558,192192,37171.0,21716.0
559,81480,43966.0,56281.0
560,7326,133407.0,39669.0
561,57879,87373.0,189009.0
562,136170,3846.0,92430.0
563,42878,113931.0,100139.0
564,131261,192450.0,48864.0
565,134588,292.0,43285.0
566,155740,127171.0,79414.0
567,173521,47396.0,127103.0
568,153931,69881.0,53257.0
569,81775,22782.0,19274.0
570,159297,145776.0,37146.0
571,118118,25734.0,132149.0
572,28143,78706.0,58198.0
573,189822,134014.0,7519.0
574,64904,72844.0,40124.0
575,186338,57004.0,60998.0
576,63569,182807.0,2057.0
577,97682,78447.0,118644.0
578,177898,4141.0,98876.0
579,121394,90622.0,141952.0
580,103317,102793.0,133499.0
581,16808,169109.0,49071.0
582,100836,106720.0,72844.0
583,32986,148880.0,69059.0
584,133215,54504.0,153825.0
585,183351,46179.0,88586.0
586,106307,121362.0,124446.0
587,158040,21716.0,172729.0
588,121598,21366.0,46174.0
589,168301,71996.0,88846.0
590,187164,179612.0,46976.0
591,35857,182491.0,83686.0
592,63819,84630.0,167248.0
593,125092,85093.0,100197.0
594,40151,199279.0,141373.0
595,180731,132205.0,135369.0
596,152455,9133.0,54065.0
597,191500,186259.0,133115.0
598,148275,127745.0,37981.0
599,50419,165107.0,132187.0
600,107726,49454.0,173243.0
601,73042,104160.0,112455.0
602,27291,186499.0,109075.0
603,185389,69059.0,68922.0
604,43500,106583.0,43287.0
605,120340,117555.0,140493.0
606,125127,143110.0,21661.0
607,87662,166300.0,64828.0
608,146588,41023.0,124293.0
609,13601,13678.0,114490.0
610,82240,44087.0,69332.0
611,59546,66108.0,180388.0
612,162220,22844.0,2583.0
613,38733,108885.0,134314.0
614,169224,17092.0,129376.0
615,88774,94430.0,21694.0
616,132971,137573.0,63953.0
617,44047,31449.0,115308.0
618,18527,189022.0,93508.0
619,2202,54065.0,66896.0
620,151818,27527.0,31994.0
621,81672,17106.0,144682.0
622,179662,141064.0,834.0
623,21716,15620.0,12340.0
624,132447,68922.0,34066.0
625,69610,173334.0,85588.0
626,100139,101446.0,11931.0
627,13794,27435.0,116513.0
628,43903,135873.0,179812.0
629,75950,44199.0,67915.0
630,198997,71704.0,175573.0
631,75121,51525.0,187359.0
632,194812,107622.0,72061.0
633,44490,162727.0,55389.0
634,85307,71428.0,147285.0
635,107187,167227.0,132542.0
636,22257,14674.0,194329.0
637,97046,140493.0,22380.0
638,121674,182991.0,76046.0
639,48699,197630.0,41757.0
640,183245,46857.0,186694.0
641,65208,129376.0,8760.0
642,142265,33926.0,143748.0
643,90036,112619.0,150469.0
644,168358,106295.0,161789.0
645,166300,55815.0,52795.0
646,14742,114490.0,136459.0
647,23705,133115.0,98717.0
648,37363,8380.0,139513.0
649,71996,67635.0,126588.0
650,36718,8611.0,98742.0
651,23250,50957.0,78365.0
652,137974,58871.0,126993.0
653,133115,45318.0,69680.0
654,129376,33657.0,86098.0
655,141373,70196.0,119652.0
656,179812,157067.0,
657,37981,72253.0,
658,67743,4675.0,
659,132187,184959.0,
660,141064,58187.0,
661,161333,41034.0,
662,127919,56694.0,
663,68922,37618.0,
664,143977,72061.0,
665,71704,94861.0,
666,190240,177132.0,
667,163001,68688.0,
668,61396,131959.0,
669,151754,162560.0,
670,44199,184545.0,
671,135873,93021.0,
672,173243,82206.0,
673,140493,78903.0,
674,108885,137026.0,
675,14623,139865.0,
676,15533,178334.0,
677,60406,169912.0,
678,17878,185526.0,
679,35923,166795.0,
680,31449,52680.0,
681,21694,129987.0,
682,185192,149420.0,
683,114490,76046.0,
684,33926,97841.0,
685,39744,158527.0,
686,38870,154121.0,
687,100536,64784.0,
688,192084,160596.0,
689,180029,139513.0,
690,3424,9330.0,
691,83686,3574.0,
692,162727,8680.0,
693,43287,49194.0,
694,171124,25876.0,
695,19964,126588.0,
696,109075,27465.0,
697,165241,78365.0,
698,86742,142432.0,
699,8380,,
700,119441,,
701,45445,,
702,56694,,
703,162221,,
704,61254,,
705,72253,,
706,55090,,
707,92590,,
708,4675,,
709,199293,,
710,133740,,
711,164983,,
712,87768,,
713,72674,,
714,72656,,
715,162418,,
716,195264,,
717,158173,,
718,71428,,
